id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12637339,Private room in Historic Anacostia,33579876,D,,"Sheridan, Barry Farm, Buena Vista",38.86055,-76.99209,Private room,70,31,1,2023-07-08,0.09,2,38,1,
12656977,Relaxing Rowhouse Room in NE DC,415218,Max,,"Mayfair, Hillbrook, Mahaning Heights",38.90037,-76.93872,Private room,25,32,6,2018-12-08,0.06,1,307,0,
12758628,DC Gem- A charming hidden oasis,60398867,Lenya,,"Woodridge, Fort Lincoln, Gateway",38.92572,-76.96046,Entire home/apt,207,2,104,2023-08-25,1.13,1,11,2,Unhosted License: 5007262201001856
12758931,"Contemporary, Spacious 1-Bedroom",69403545,LilliAnn,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91623,-77.02015,Entire home/apt,200,5,113,2024-05-31,1.15,1,357,20,Hosted License: 5007242201000657
12784285,Capitol Hill Studio on the Park!,44859433,Olivia And Jason,,"Capitol Hill, Lincoln Park",38.88995,-76.98974,Entire home/apt,,3,196,2024-05-21,1.98,1,17,23,Hosted License: 5007242201000471
12833258,"Clean, Sleek and Modern 1-Bedroom Basement Apt",65964736,Tim,,"Brightwood Park, Crestwood, Petworth",38.94128,-77.01738,Entire home/apt,110,7,117,2024-06-01,1.21,1,270,5,Hosted License: 5007242201000271
12850682,3 blocks to Capitol.  Entire Top Floors  Vet Owned,10292686,Capitol Hill Stay,,"Capitol Hill, Lincoln Park",38.89068,-77.00155,Entire home/apt,258,31,11,2022-06-08,0.11,19,319,0,
12851881,2BR and 2BH Apartment in Historic DC,10666566,Francisco,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91927,-77.01233,Entire home/apt,172,2,111,2024-06-13,2.90,1,136,41,Hosted License: 5007242201001631
12864169,Great View of Supreme Court Veteran Owned 1 blk to,10292686,Capitol Hill Stay,,"Capitol Hill, Lincoln Park",38.89032745361328,-77.00325012207031,Entire home/apt,225,31,71,2022-06-30,0.76,19,347,0,
12865283,Charming row house apartment near everything,5094757,David & Kathy,,"Dupont Circle, Connecticut Avenue/K Street",38.91374,-77.03842,Entire home/apt,197,1,484,2024-06-18,5.21,1,169,51,
12866552,Tiny House - Vet Owned - 3 blocks to Capitol Patio,10292686,Capitol Hill Stay,,"Capitol Hill, Lincoln Park",38.89053,-77.00139,Entire home/apt,165,31,9,2021-01-08,0.09,19,341,0,
12866878,Great Carriage House - 3 blks to Cap -  Fast WIFI,10292686,Capitol Hill Stay,,"Capitol Hill, Lincoln Park",38.89053,-77.00139,Entire home/apt,190,31,30,2023-09-14,0.32,19,300,1,
12886507,Garden Suite,9348212,Farida,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93382,-77.06471,Entire home/apt,130,2,163,2024-06-17,1.67,1,321,24,Hosted License: 5007242201001025
12926545,"Private Room in Quiet, Eclectic Home in Quaint Mt. Pleasant",7920042,Cinderella,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93423,-77.04241,Private room,69,3,224,2024-06-15,2.27,2,59,38,Hosted License: 5007242201001809<br />Unhosted License: 5007262201001810
12935921,Charming Private Room & Private Bath fresh Clean!!,45325566,Elsy,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93323,-77.02849,Private room,195,1,21,2018-06-29,0.22,3,112,0,Exempt
12973607,Private Bedroom Suite w/ Free Parking & EV-Charger,58228107,Derrick,,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.86104,-76.9709,Private room,54,3,182,2024-06-09,2.20,1,35,38,Hosted License: 5007242201002116
13001509,"Cute, Quaint and Quiet(A Hipster's Reading Nook)",67905334,Deatrice,,"Woodridge, Fort Lincoln, Gateway",38.93417,-76.96509,Private room,33,7,27,2024-04-30,0.29,1,315,1,Hosted License: 5007242201001132
13005087,3BD/2.5 BTR w/ metro & free street parking,65403910,Hana,,"Brightwood Park, Crestwood, Petworth",38.94744,-77.02246,Entire home/apt,220,3,290,2024-05-27,2.95,2,336,22,Hosted License: 5007242201001154
13038149,Book Filled Urban Oasis,23246212,Carl,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91247,-77.01057,Private room,64,2,291,2024-06-17,2.97,1,324,69,Hosted License: 5007242201000347
13063902,Best place in the Center of Foggy Bottom,16820693,Alex,,"West End, Foggy Bottom, GWU",38.89957,-77.05506,Entire home/apt,157,90,0,,,1,30,0,
13078902,Veteran Owned 1 block to Capitol Great Spot,10292686,Capitol Hill Stay,,"Capitol Hill, Lincoln Park",38.89032745361328,-77.00325012207031,Entire home/apt,145,31,47,2023-05-29,0.67,19,294,0,
13096118,Newly renovated Gem of a Georgetown Home,17633,Charlotte,,"Georgetown, Burleith/Hillandale",38.91011,-77.05508,Entire home/apt,152,31,79,2023-12-03,0.81,28,0,2,
13096614,Great Apartment in Cleveland Park,3644538,Roger,,"Friendship Heights, American University Park, Tenleytown",38.94485,-77.07112,Entire home/apt,200,5,50,2024-06-14,0.51,1,313,9,Hosted License: 5007242201000419
13199320,PVT Bright + New Bedroom in Historic Eckington,55009,Mala,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91399,-77.00357,Private room,,32,17,2020-07-17,0.17,5,319,0,
13208131,"1BR Oasis near Takoma Metro, Minutes to Capital",74026365,Karl,,"Takoma, Brightwood, Manor Park",38.9707,-77.02245,Entire home/apt,95,2,121,2024-05-28,1.26,1,128,4,Hosted License: 5007242201001191
13210656,PVT Bed + PVT Bath Close to Metro in Historic DC!,55009,Mala,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91315,-77.00275,Private room,,32,24,2019-10-05,0.25,5,137,0,
13247788,"Free Parking, Minutes to GTownU/Medstar Hospital",74478298,Lucy,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90844,-77.08621,Private room,104,3,168,2024-05-26,1.72,1,113,9,Hosted License: 5007242201000961
13316914,Great Location!  Studio Apt in Georgetown/Burlieth,74877774,Jacqueline,,"Cathedral Heights, McLean Gardens, Glover Park",38.916863050688264,-77.06987154370564,Entire home/apt,93,31,37,2024-02-25,0.43,1,168,2,
13348110,Mount Pleasant Convenience,75651715,Adelina,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93211,-77.03826,Entire home/apt,130,4,59,2018-07-22,0.60,2,15,0,Hosted License: 5007262201000564
13390535,Sparkling Clean 2BR | Full Kitchen | Laundry | Gym,30283594,Global Luxury Suites,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,406,1,17,2022-06-08,0.22,54,363,0,Exempt
13491888,Capitol Hill Row House Newly Renovated!,1261711,Steve And Lisa,,"Capitol Hill, Lincoln Park",38.88104,-76.9871,Entire home/apt,280,4,243,2024-05-27,2.53,2,55,23,Hosted License: 5007242201000799
13492207,Newly Renovated Capitol Hill Basement Apartment,1261711,Steve And Lisa,,"Capitol Hill, Lincoln Park",38.88084,-76.98808,Entire home/apt,122,31,223,2024-06-03,2.32,2,89,19,Hosted License: 5007242201000799
13501642,"Swank, sunny, sustainable Logan Circle apt",2726546,Susan,,"Shaw, Logan Circle",38.91328,-77.02954,Entire home/apt,133,60,47,2024-04-04,0.50,3,205,2,Hosted License: 5007242201001589
13524358,"Private top floor at 2067 Park Road, Nw Dc",77706798,Martin & LeeAnne,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93421,-77.04359,Private room,120,1,74,2024-05-21,0.76,2,33,9,Hosted License: 5007242201002809
13570789,The Loft,22653397,Michael,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91602,-77.02575,Private room,100,31,25,2023-08-18,0.27,2,37,1,
13578244,"Capitol, Union Station, Romantic, Walkable Apt",2492536,Graham,,"Union Station, Stanton Park, Kingman Park",38.89904,-77.00072,Entire home/apt,132,1,563,2024-06-01,5.80,5,21,66,Exempt
13622959,Cozy Capitol Hill 1 BR English Basement,59387158,Beth,,"Capitol Hill, Lincoln Park",38.88254,-76.98646,Entire home/apt,121,2,361,2024-06-04,3.72,1,74,58,Hosted License: 5007242201001209
13635817,Serene Apartment in a D.C. Rowhouse,4343477,Tania,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91357,-77.00918,Entire home/apt,131,1,392,2024-06-16,4.06,1,110,71,Hosted License: 5007242201000286
13641373,Big friendly studio on Capitol Hill,39556632,Margot,,"Union Station, Stanton Park, Kingman Park",38.8953,-76.99214,Entire home/apt,,3,101,2024-04-26,1.18,1,0,10,Hosted License: 5007242201002171
13685445,Modern flat in the heart of Adams Morgan,1346845,Evanna,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92415,-77.04052,Entire home/apt,125,59,114,2023-07-08,1.18,1,144,1,
13727764,English Basement Apt in a Classic DC Neighborhood,33151642,Katherine And Shelby,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90484,-76.9868,Entire home/apt,,31,393,2023-04-29,4.87,3,291,0,
13744486,Fully Furnished 1BR Apartment in Logan Circle,16644446,Corporate,,"Shaw, Logan Circle",38.90634,-77.0288,Entire home/apt,206,3,1,2024-05-04,0.61,24,64,1,Hosted License: 5007242100000088
13802779,"Modern, Comfortable Stay on Capitol Hill",58214542,Lauren And Chris,,"Union Station, Stanton Park, Kingman Park",38.89345,-76.99677,Entire home/apt,126,2,434,2024-06-06,4.59,1,93,36,Hosted License: 5007242201000411<br />Unhosted License: 5007262201000412
13809783,#2 Coolest Neighborhood in the World - Forbes Mag,74518047,Lillian Anita,,"Near Southeast, Navy Yard",38.87758,-77.00102,Private room,90,4,68,2023-12-08,0.73,2,281,10,Hosted License: 5007242201000667
13865075,"Breakfast, Free Parking & Easy Walk to Mall, Wharf",71002747,Bruce,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87992,-77.01578,Private room,179,1,226,2024-06-16,2.34,1,95,29,Exempt
13932102,Family-friendly home with XL yard near metro,10974337,Rebecca,,"Friendship Heights, American University Park, Tenleytown",38.94889,-77.09414,Entire home/apt,400,250,1,2022-08-12,0.04,1,358,0,Unhosted License: 5007262201001928
14086586,"Spacious studio apt, Super location, Parking",5816343,Lynn,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93321,-77.04689,Entire home/apt,100,2,318,2024-06-12,3.58,1,73,42,Hosted License: 5007242201001131
14101888,Ingraham Alley Inn - A Quiet & Cozy Micro House,11585007,Mingo,,"Brightwood Park, Crestwood, Petworth",38.95417,-77.03262,Entire home/apt,93,1,416,2024-05-31,4.34,1,76,49,Hosted License: 5007242201000805
